"all_hashtags","Freq"
"SalvadosInditex",6
"SalvadosMercadona",6
"SalvadosRyanair",6
"sanchezdetencion",6
"sanchezlosabia",6
"santcugat",6
"SantCugat",6
"savetheplanet",6
"seafood",6
"segurpricat",6
"semanagastronomica",6
"SemanaNegra",6
"semifrios",6
"SentidoComún",6
"septiembre",6
"sesolidario",6
"sevilla",6
"sevillahoy",6
"SinLactosa",6
"Sisbela",6
"skamespaña",6
"sky",6
"SLNesSolidaria",6
"SMI",6
"snack",6
"snacksaludable",6
"Sobrasada",6
"sobrasadacnmiel",6
"SocialDistancing",6
"socialmedia",6
"soja",6
"Solomillo",6
"SoloParaMomentosEspeciales",6
"somosgordos",6
"SomosLaAudiencia20N",6
"SOSrural",6
"Sostenibilidad",6
"SpainIsDifferent",6
"StrangerPigs",6
"StrangerThings",6
"strawberries",6
"style",6
"su",6
"suave",6
"super",6
"SúperDumbo",6
"Superventas",6
"surtido",6
"SVGala5",6
"tacos",6
"talento",6
"tamron",6
"tapas",6
"TaxiCabrera",6
"teletrabajo",6
"Tempranales",6
"tequeños",6
"Terrassa",6
"terratenientes",6
"tgnlegends",6
"TheBoss",6
"TierraDeNadie7",6
"tiguana",6
"toallitas",6
"TodoArde",6
"Toledo",6
"Tomares",6
"top",6
"torello",6
"Torrejón",6
"Torrero",6
"TorresDeLaHuerta",6
"Torreznos",6
"TourLYinSpain2019",6
"turismobrutal",6
"turismorural",6
"Turrón",6
"TURRÓN",6
"Uber",6
"UELfinal",6
"ÚltimaHora",6
"unboxing",6
"Utrera",6
"uvieu",6
"UX",6
"vacaciones",6
"VagaGeneral30",6
"Valdemoro",6
"ValenciaArena",6
"Valladolid",6
"vallecas",6
"VamosBustar",6
"VamosNaranjas",6
"VehículosEléctricos",6
"velocidadcuchara",6
"VerdadVerdadera",6
"verguenza",6
"vidasana",6
"vídeo",6
"viladecans",6
"VilanovadelCamí",6
"VilassarDeMar",6
"Villarreal",6
"vivid",6
"vlog",6
"voluntariado",6
"Vox",6
"winemoments",6
"winetime",6
"yaneznoaptomercadona",6
"yoconsumocanario",6
"YoMeQuedariaEnCasa",6
"YoMeQuedoEnMiCasa",6
"YoMeRebelo01N",6
"Youtube",6
"YouTuber",6
"Yuca",6
"zanahoria",6
"zumo",6
"スペイン",6
"メルカドーナ",6
"メルパト",6
"Aceitedeoliva",5
"Agricultura",5
"alergiaalosfrutossecos",5
"alertaalimentaria",5
"antioxidante",5
"ArroyoCulebro",5
"asinomercadona",5
"avellana",5
"Blanes",5
"CajeraATuCaja",5
"Ciempozuelos",5
"Comunicación",5
"CostaBrava",5
"DesarrolloLocal",5
"EXCLUSIVA",5
"FirstDates10N",5
"granizadoTodoelaño",5
"hastalosputoshuevos",5
"ibiza",5
"intermediarios",5
"ipc",5
"IreneMonteroAcudaACaja4",5
"joseSonrieMenosYpsssMasRspido",5
"Leganes",5
"Malasaña",5
"mantecao",5
"MCJunior",5
"MercadonaTortura",5
"mertinreadmision",5
"Navidad2022",5
"nolohagas",5
"NoSéQuéHacer",5
"OFERTAS",5
"pamplona",5
